mb_code16,sa1_code16,sa2_code16,sa2_name,sa3_code16,sa3_name,lga_name,uhi_mean,canopy_pct,grass_pct,shrub_pct,any_veg_pct,shrub_tree_pct,tree_03_10_pct,tree_10_15_pct,tree_15plus_pct,mb_category,dwellings,persons,area_sqkm,irsd_score,irsd_decile
20016332000,20901119827,209011198,Heidelberg - Rosanna,20901,Banyule,Banyule (C),7.9505,4.7092,1.0092,0.9954,6.7138,5.7046,3.6422,0.9893,0.0777,Commercial,0,0,0.0066,1087,9
20016333000,20901119802,209011198,Heidelberg - Rosanna,20901,Banyule,Banyule (C),9.8113,4.4585,1.315,0.8813,6.6548,5.3398,2.9185,1.1169,0.4231,Commercial,0,0,0.0119,1072,8
20016340000,20901120344,209011203,Viewbank - Yallambie,20901,Banyule,Banyule (C),9.2873,17.2367,5.5495,10.1664,32.9527,27.4032,14.9856,1.9256,0.3256,Residential,50,118,0.0359,1068,8
20016350000,20901120324,209011203,Viewbank - Yallambie,20901,Banyule,Banyule (C),8.097,13.0103,6.5721,7.439,27.0214,20.4493,10.6219,1.7093,0.6791,Residential,27,62,0.0232,1079,8
20016360000,20901119828,209011198,Heidelberg - Rosanna,20901,Banyule,Banyule (C),9.3703,17.561,7.7384,6.7237,32.0231,24.2847,12.5954,3.3714,1.5942,Residential,29,71,0.0203,1066,8
20016370000,20901120340,209011203,Viewbank - Yallambie,20901,Banyule,Banyule (C),8.2446,23.2055,6.9836,7.2909,37.4799,30.4963,13.4406,7.3866,2.3782,Residential,15,42,0.0118,1084,9
20016380000,20901120324,209011203,Viewbank - Yallambie,20901,Banyule,Banyule (C),8.1446,11.293,8.313,8.4684,28.0743,19.7613,10.5142,0.7246,0.0542,Residential,36,111,0.0339,1079,8
20016390000,20901120337,209011203,Viewbank - Yallambie,20901,Banyule,Banyule (C),8.9214,12.628,7.1365,7.7537,27.5183,20.3818,10.6446,1.8306,0.1528,Residential,47,122,0.0343,1083,9
20016400000,20901120305,209011203,Viewbank - Yallambie,20901,Banyule,Banyule (C),8.3084,13.1698,4.4825,9.3185,26.9708,22.4883,11.1093,1.4521,0.6084,Residential,29,98,0.0222,1072,8
20015600000,20901120017,209011200,Ivanhoe,20901,Banyule,Banyule (C),7.9724,24.2564,8.3644,9.8661,42.4869,34.1225,16.6582,4.452,3.1462,Residential,48,107,0.0499,1103,9
