area_type,area_code,area_name,scope,n_blocks,uhi_mean,uhi_p10,uhi_p90,canopy_mean,canopy_p10,canopy_p90,coolest_mb_code,coolest_uhi,coolest_canopy_pct
SA2,208031189,Edithvale - Aspendale,RESIDENTIAL,138,9.0537,8.0644,9.9274,8.921,4.5736,12.9745,20325820000,7.1461,5.8278
SA2,208031190,Mentone,RESIDENTIAL,170,9.0195,7.3849,10.1293,10.7133,5.7155,15.0637,20309560000,6.4816,12.8539
SA2,208031191,Moorabbin - Heatherton,RESIDENTIAL,88,9.5086,8.8955,10.2501,11.3627,7.2131,15.378,20316830000,8.4868,19.2101
SA2,208031193,Mordialloc - Parkdale,RESIDENTIAL,226,8.9316,7.5872,9.8987,11.0725,6.2184,15.5739,20308840000,6.368,7.3126
SA2,208041194,Malvern - Glen Iris,RESIDENTIAL,244,7.8533,7.1479,8.5018,18.5305,11.1576,25.8979,20555640000,6.285,30.5538
SA2,208041195,Malvern East,RESIDENTIAL,226,7.8993,7.1902,8.645,18.0386,11.5008,26.3547,20552830000,5.5352,20.3391
SA2,209011196,Bundoora - East,RESIDENTIAL,91,9.3162,8.7958,9.7961,10.3297,7.1435,13.65,20029771000,8.0842,6.3276
SA2,209011197,Greensborough,RESIDENTIAL,202,8.3804,6.9041,9.3834,20.1913,12.4624,29.4099,20026081000,5.192,45.4313
SA2,209011198,Heidelberg - Rosanna,RESIDENTIAL,162,8.3849,7.7817,9.244,16.7368,10.8194,22.221,20631918380,6.5166,15.1678
SA2,209011199,Heidelberg West,RESIDENTIAL,157,8.1694,7.7519,8.6029,13.8669,10.0772,18.2866,20020680000,7.2812,10.0048
SA2,209011200,Ivanhoe,RESIDENTIAL,133,7.7717,7.0289,8.647,18.3738,11.1797,26.7219,20020890000,4.3709,47.0551
SA2,209011201,Ivanhoe East - Eaglemont,RESIDENTIAL,82,7.2479,6.6582,7.7704,24.5759,19.5645,31.5076,20018060000,6.1047,36.3374
SA2,209011202,Montmorency - Briar Hill,RESIDENTIAL,178,7.911,7.2002,8.639,25.8517,17.57,33.851,20028190000,5.8248,30.3862
SA2,209011203,Viewbank - Yallambie,RESIDENTIAL,187,8.7736,8.119,9.502,16.4553,11.0905,24.0244,20021030000,6.8564,27.4636
