mb_code16,warming_level,days_label,days_lower,days_upper
20018160000,1.2,5-10,5,10
20018170000,1.2,5-10,5,10
20019790000,1.2,5-10,5,10
20018180000,1.2,5-10,5,10
20018190000,1.2,5-10,5,10
20018200000,1.2,5-10,5,10
20018210000,1.2,5-10,5,10
20018220000,1.2,5-10,5,10
20018230000,1.2,5-10,5,10
20018240000,1.2,5-10,5,10
20018250000,1.2,5-10,5,10
20019130000,1.2,5-10,5,10
20019140000,1.2,5-10,5,10
20019150000,1.2,5-10,5,10
20019160000,1.2,5-10,5,10
20019170000,1.2,5-10,5,10
20019180000,1.2,5-10,5,10
20019190000,1.2,5-10,5,10
20019200000,1.2,5-10,5,10
20019210000,1.2,5-10,5,10
20019220000,1.2,5-10,5,10
20019231000,1.2,5-10,5,10
20019232000,1.2,5-10,5,10
20019540000,1.2,5-10,5,10
20019550000,1.2,5-10,5,10
20019560000,1.2,5-10,5,10
20019570000,1.2,5-10,5,10
20019850000,1.2,5-10,5,10
20019860000,1.2,5-10,5,10
20019871000,1.2,5-10,5,10
20019872000,1.2,5-10,5,10
20019880000,1.2,5-10,5,10
20019890000,1.2,5-10,5,10
20019900000,1.2,5-10,5,10
20019920000,1.2,5-10,5,10
20019930000,1.2,5-10,5,10
20019940000,1.2,5-10,5,10
20019950000,1.2,5-10,5,10
20019960000,1.2,5-10,5,10
20019690000,1.2,5-10,5,10
20019700000,1.2,5-10,5,10
20019710000,1.2,5-10,5,10
20019720000,1.2,5-10,5,10
20019730000,1.2,5-10,5,10
20019740000,1.2,5-10,5,10
20019750000,1.2,5-10,5,10
20019760000,1.2,5-10,5,10
20019770000,1.2,5-10,5,10
20019780000,1.2,5-10,5,10
20019800000,1.2,5-10,5,10
20019810000,1.2,5-10,5,10
20019240000,1.2,5-10,5,10
20019250000,1.2,5-10,5,10
20019260000,1.2,5-10,5,10
20019270000,1.2,5-10,5,10
20019280000,1.2,5-10,5,10
20019290000,1.2,5-10,5,10
20019300000,1.2,5-10,5,10
20019310000,1.2,5-10,5,10
20019320000,1.2,5-10,5,10
20019330000,1.2,5-10,5,10
20019340000,1.2,5-10,5,10
20019350000,1.2,5-10,5,10
20019361000,1.2,5-10,5,10
20019362000,1.2,5-10,5,10
20019520000,1.2,5-10,5,10
20019370000,1.2,5-10,5,10
20019380000,1.2,5-10,5,10
20019390000,1.2,5-10,5,10
20019400000,1.2,5-10,5,10
20019410000,1.2,5-10,5,10
20019420000,1.2,5-10,5,10
20019430000,1.2,5-10,5,10
20019440000,1.2,5-10,5,10
20019450000,1.2,5-10,5,10
20019470000,1.2,5-10,5,10
20019481000,1.2,5-10,5,10
20019482000,1.2,5-10,5,10
20019490000,1.2,5-10,5,10
20019500000,1.2,5-10,5,10
20019510000,1.2,5-10,5,10
20020400000,1.2,5-10,5,10
20019530000,1.2,5-10,5,10
20020660000,1.2,5-10,5,10
20019000000,1.2,5-10,5,10
20019010000,1.2,5-10,5,10
20019020000,1.2,5-10,5,10
20019030000,1.2,5-10,5,10
20019040000,1.2,5-10,5,10
20019050000,1.2,5-10,5,10
20019060000,1.2,5-10,5,10
20019070000,1.2,5-10,5,10
20019080000,1.2,5-10,5,10
20019090000,1.2,5-10,5,10
20019100000,1.2,5-10,5,10
20019110000,1.2,5-10,5,10
20019120000,1.2,5-10,5,10
20020270000,1.2,5-10,5,10
20020280000,1.2,5-10,5,10
20020290000,1.2,5-10,5,10
20020300000,1.2,5-10,5,10
20020310000,1.2,5-10,5,10
20020320000,1.2,5-10,5,10
20020330000,1.2,5-10,5,10
20020340000,1.2,5-10,5,10
20020350000,1.2,5-10,5,10
20020360000,1.2,5-10,5,10
20020370000,1.2,5-10,5,10
20020380000,1.2,5-10,5,10
20020391000,1.2,5-10,5,10
20020392000,1.2,5-10,5,10
20020393000,1.2,5-10,5,10
20020410000,1.2,5-10,5,10
20020420000,1.2,5-10,5,10
20020430000,1.2,5-10,5,10
20020440000,1.2,5-10,5,10
20020450000,1.2,5-10,5,10
20020460000,1.2,5-10,5,10
20020470000,1.2,5-10,5,10
20020480000,1.2,5-10,5,10
20020490000,1.2,5-10,5,10
20020500000,1.2,5-10,5,10
20020510000,1.2,5-10,5,10
20020520000,1.2,5-10,5,10
20020530000,1.2,5-10,5,10
20020830000,1.2,5-10,5,10
20020760000,1.2,5-10,5,10
20020770000,1.2,5-10,5,10
